0,0,40,40
0,80,40,40
80,40,40,40
0,120,40,40
0,160,40,40
0,200,40,40
0,240,40,40
0,280,40,40
40,0,40,40
40,120,40,40
40,240,40,40
40,360,40,40
40,400,40,40
40,440,40,40
40,480,40,40
40,520,40,40
80,0,40,40
80,120,40,40
80,200,40,40
80,240,40,40
80,320,40,40
80,360,40,40
80,520,40,40
120,120,40,40
120,320,40,40
120,440,40,40
120,520,40,40
160,40,40,40
160,120,40,40
160,160,40,40
160,200,40,40
160,240,40,40
160,280,40,40
160,320,40,40
160,400,40,40
160,440,40,40
200,40,40,40
200,240,40,40
200,440,40,40
200,480,40,40
200,520,40,40
240,40,40,40
240,120,40,40
240,200,40,40
240,240,40,40
240,280,40,40
240,360,40,40
280,40,40,40
280,80,40,40
280,120,40,40
280,200,40,40
280,280,40,40
280,360,40,40
280,400,40,40
280,440,40,40
280,480,40,40
280,520,40,40
320,480,40,40
360,0,40,40
360,40,40,40
360,80,40,40
360,160,40,40
360,200,40,40
360,240,40,40
360,280,40,40
360,320,40,40
360,360,40,40
360,440,40,40
360,480,40,40
360,560,40,40
400,160,40,40
400,480,40,40
400,560,40,40
440,0,40,40
440,80,40,40
440,120,40,40
440,160,40,40
440,240,40,40
440,280,40,40
440,320,40,40
440,360,40,40
440,400,40,40
440,480,40,40
440,560,40,40
480,0,40,40
480,80,40,40
480,480,40,40
520,160,40,40
520,200,40,40
520,240,40,40
520,320,40,40
520,360,40,40
520,440,40,40
520,480,40,40
520,560,40,40
560,0,40,40
560,40,40,40
560,80,40,40
560,200,40,40
560,560,40,40
